Title,Instructor,Keywords,Learn,Description,course_id
Marketing Mix Modelling,Bharath J P V ,Marketing Mix Models,"Marketing strategy, Workflow of models, Data types and sources, Correlation, Regression Techniques, Statistics behind regression, Optimization",This course is for marketing and Data Analysis students who are required to integrate both statistics and marketing. Detailed Explanation of Advanced regression technique and mathematics behind each metrics is given in this course.,250
Graph ML,Rishav Dash,Graph ML,"Embedding Methods, Supervised Graph learning, Unsupervised Graph learning","Graph Machine Learning provides a new set of tools for processing network data and leveraging the power of the relationship between entities that can be used for predictive, modelling, and analytics tasks. This course would cover theory related to GraphML with some implementation.",251
Complete Backend development with Nodejs,Hitesh Choudhary,Complete Backend development with Nodejs,"Javascript, ES6, Web servers, Express Js, Body parsers, Middlewares, View Engines, Multer, Passport JS, Big Stack, MongoDB integration with Node JS","Javascript is being used for much more than it originally intended. All backend work may now be done through javascript. In this course, we will learn how to use current javascript to develop comprehensive backend code. To begin, we'll use VSCode to set up some tools. Then we'll learn how to build our own web server without using any third-party modules. After that, we'll learn express. We will also learn how to send web-based and JSON-based responses. We'll go into body parser, middleware, and templating in more detail later.",252
DSA with Python,Hitesh Choudhary,DSA with Python,"Big O notation, Time and space complexity, DSA problem solving, Stacks and heaps, Physical and logical strcutures, Abstract data types, Recursion, Linked Lists, Stacks, Queues, Trees, Hashing, AVL trees, Heaps, Sorting","This Python course on Data Structures and Algorithms covers data structures such as linked lists, stacks and queues, binary search trees, heaps, searching, and hashing. This course covers a variety of sorting algorithms, as well as their implementation and analysis. The following topics are covered with Python implementation in this Data Structures in Python course. Analysis of Algorithms, Big O notation, Time Complexity, Singly Linked List, Doubly linked list, Trees, Heaps, Hashing and Sorting algorithms.",253
DSA with C++,Hitesh Choudhary,DSA with C++,"C++ programming basics, C++ data types, C++ data structures, Input/Output in C++, Control Flow in C++, Loops, Functions, OOP in C++, Memory management, Macros","For performance-critical applications that need speed and effective memory management, C++ is an important programming language. It's employed in a variety of fields such as software and game development, virtual reality, robotics, and scientific computing. In this course you will learn the fundamentals of C++ with various data structures and algorithms.",254
DSA with Java,Hitesh Choudhary,DSA with Java,"Problem Solving, Time-based DSA, Big O notation, Time and space complexity, Recursion, Power program theory, Combination theory, Stacks,queues,linked lists,trees, Searching, sorting, hashing","This course has been designed to help you become a complete and professional Java developer at the conclusion of the course, rather than only teaching essential Java skills. After completing this course, you will have a thorough understanding of various Data Structures and Algorithms in Java which will further enhance your career as a java developer.",255
Email Marketing,Ankur Khanna,Email Marketing,"Understanding the importance, Benefits & forms of Email Marketing, Gain understanding on Email Marketing Domain & its concepts, Setting up of an Email Campaign, Deployment of an Email Campaign , Automation Process, Analyse Email Campaign","Email Marketing course is designed to provide an in depth knowledge on various aspects & concepts of Email Marketing. A step by step learning will be help to focus on each & every parameter of Email Marketing. The Email marketing course will take you through the end-to-end process of Emailing, Email design & templates, Email Subscription management, Reporting, Analytics and more.",256
MLflow,Sunny Bhaveen Chandra,MLflow,"Basic concepts, Installation, MLflow use cases, Apply Mlflow to track your ML/Dl experiments, Package Project, Serve model, and manage and register model","This program is meant to give you the basics till an advanced understanding of one of the most popular ML cycle management frameworks - MLflow. Course curriculum includes concepts about the MLflow framework, tutorials, and much more!",257
PostgreSQL,Manjunatha A,PostgreSQL,"Exploring Database, Understanding how to use relational database., Importance of PostgreSQL., Different operations using PostgreSQL","One of the most advanced open-source relational database systems is PostgreSQL. It has a number of features that assist developers in creating applications, administrators in maintaining data integrity, and data analysts and data scientists in managing their data regardless of the dataset size.",258
RPA - UiPath,,RPA - UiPath ,"Introduction to Course, What is RPA, ControlFlows in UiPath, Variables and Arguments in UiPath, Module 1: Input Activites and Methods in UiPath, Module 2: Type of Workflows in UiPath, Module 3: Selectors and Recordings in UiPath, Module 4: Error Handling and Debugging in UiPath, Module 5: Unstructured and Data Scrapping methods in UiPath, Module 6: Excel, PDF and Email activities in UiPath, Module 7 : Synchronization activities in UiPath, Module 8 : Connecting with Git, TFS and SVN in UiPath, Module 9 : Orchestratorsin UiPath, Module 10 : ReFramework in UiPath","Learn and master UiPath Studio and then build state-of-the-art software robots from scratch. UiPath has evolved to become the only RPA platform in the market to support the full automation lifecycle from discovery to measurement. Its product portfolio continues to stay at the forefront of innovation, continuously expanding its traditional RPA offering capabilities to include tools like process mining, embedded analytics, improved AI fabric components, SaaS-based RPA, and test automation. UiPath is considered one of the fastest RPA solutions in the industry as well – often 3-4x faster than other RPA products.",259
Game Development,Khushali Shah,Game Development,"Game development, Different game development packages in python, Pyglet module, creating games, 3D features","This course provides you with an understanding of developing games through Python. Game development is possible using coding or using drag and drop functionality. In this course, we will learn how to develop a game using python. To start with this course, having knowledge in python is required as a prerequisite.",260
MS SQL Server and T-SQL,,MS SQL Server & T-SQL,"Working with SQL Server, Architecture, Datatypes, Keys in Database","In this intro to SQL Server course, you gain the introductory skills to maximize SQL Server's benefits. Learn how to use the various administrative and development tools within SQL Server including the Microsoft BI stack of Integration Services, Analysis Services, and Reporting Services. SQL Server offers a platform for enterprise data management, robust development, and implementation of modern Business Intelligence solutions. Attend this hands-on course and learn to leverage these features.",261
Snowflake Beginners,,Snowflake,"Snowflake Architecture, Working with Snowflake UI, Features of Snowflake, Setup Connectors","Cloud Data Warehouse is the next big thing. Learn What is Snowflake Cloud Data Warehouse and its architecture. Build a highly scalable, high performance next-gen modern data warehouse for your company. The course is designed in beginner-friendly, helping you to understand the basics of cloud, SAAS and it all works together in the background.",262
Tibco Spotfire,Khushali Shah,Tibco Spotfire,"Tibco spotfire Features, Analytics, spotfire mods, Dashboard, creating report, creating Dashboard",Upskill your analytics skills through the power of Tibco Platform. Tibco spotfire is an analytical platform enabling us to explore and visualize new discoveries in data through immersive dashboards and advanced analytics. You will be able to enhance your skill by exploring this Tibco Analytical platform.,263
PyTorch Basics,Sunny Bhaveen Chandra,"PyTorch Basics course, PyTorch course Online, PyTorch Certification course, ","Basic concepts, Installation, PyTorch usecases, Apply PyTorch to implement DL or ML algos from scratch","This program is meant to give you the basics to an advanced understanding of one of the most popular deep-learning Python frameworks - PyTorch. The course curriculum includes concepts about the PyTorch framework, tutorials, and much more! PyTorch is an open-source machine learning framework that provides a Python-based scientific computing package for machine learning researchers. This course will provide a foundational understanding of PyTorch basics, including tensor operations, autographed, neural networks, and GPU Acceleration. This course features include a combination of lectures, coding exercises, and quizzes to reinforce the concepts covered in each section. By the end of the course, students should have a solid understanding of PyTorch basics and be able to use it to build and train simple neural networks.",264
Streamlit,,Streamlit,"Streamlit , Web-apps , Building UI","In this course, you will learn about the fundamental concepts related to the Streamlit library. After completion of this course, you will be able to create Web applications for your Data science models with the help of Streamlit Library.",265
Dask,,Dask,"Dask Arrays, Dask Dataframes, Dask Bags, ML with Dask",Dask is a flexible library for parallel computing in Python. It can easily handle large data which enables users to perform ml related tasks at scale.,266
AWS QuickSight,,AWS QuickSight,"Working with filters, Building charts, Dashboards",AWS Quicksight is one of the most powerful Business Intelligence tools which allows you to create interactive dashboards within minutes to provide business insights into the organizations. There are number of visualizations or graphical formats available in which the dashboards can be created. The dashboards get automatically updated as the data is updated or scheduled. You can also embed the dashboard created in Quicksight to your web application.,267
AWS Sagemaker,,AWS Sagemaker,"Learn about various Algorithms like XgBoost ,Deep AR , Linear Learner , Factorization Machines on SageMaker, Learn To Deploy custom Machine Learnng Algorithms on SageMaker, Learn To implement Real world Machine Learning Problem on SageMaker, Learn To do Hyper Parameter Tuning on SageMaker",Well groomed knowledge of the complete AWS Machine Learning ecosystem is required and SageMaker is one of the Most Important component of it.This course includes real world Projects which enables you to learn and solidify your concept on Sagemaker.,268
Trifacta,Monal Kumar,Trifacta,"Trifacta, Data preprocessing, Data transformation, Recipes, Scheduling jobs","In this course, you will learn the fundamentals of data wrangling using the Trifacta tool. Data wrangling helps to improve data usability as it converts raw data into a compatible format for further analytics and machine learning. Accelerate and visualize data transformation to improve the quality of your dataset and build automated pipelines with Trifacta.",269
System Design,Vaibhav Kumar,System Design,"System Design Concepts, What are Proxies ?, Caching, Rest API, Scaling, Database Replication",A comprehensive course on System Design covering different case studies. This course provides both theoretical and step by step approaches to solving a particular case study.,270
Drone,Sunny Bhaveen Chandra,Drone ,"Introduction, Basic understanding of UAV and Maneuvering of Aircraft., Types of UAV, Basic understanding of UAV and Maneuvering of Aircraft., Construction(Multirotor drone basic), Drone Body Assembly, Transmitter and Receiver, Flight controller, Calibrations","In this course, You will learn about the process of making a drone or how drones are used in various sectors. The majority of drones are ready to go to the skies. We provide Robotics concepts to teach you about dynamics and control so you can get a better understanding of how that works. We present an outline of Drones and Autonomous Systems for individuals who want to learn more about their mechanics. Each lecture is intended to lay the groundwork for how autonomous systems can alter our perceptions of robotics.",271
Mathematics for Machine Learning,Bharath J P V ,Mathematics for Machine Learning,"Vectors Operations, Matrix Operations, Eigen Decomposition, Applications of Eigen Decomposition, Differentiation, Partial Differentiation, Regression Project, Integration, Practical Implementations",This course suits for students who want to know the application of mathematics in Machine Learning and also for the working professionals who want to know the mathematical framework behind the machine learning algorithms.,272
Class 10th Chemistry,Jayant Topnani,"chemistry classes near me, chemistry classes online for 10th standard, chemistry CBSE classes online, chemistry ICSE classes online","Chemical reactions and equations , Acids, Bases and Salts , Metals and Non-metals,  Carbon and its compounds , Periodic classification of elements","The Science Syllabus is elegantly designed such that it introduces the important concepts of Science and their importance in our daily life. Class 10th is crucial and is the foundation for higher education of students. In this, the Chemistry section focuses on concepts like Chemical reactions, Acids, Bases, Salts, Metals, Non-Metals, etc.",273
Class 9th Chemistry,Jayant Topnani,Class 9th Chemistry,"Matter in our surroundings , Is the matter around us pure?   , Atoms and Molecules  , Structure of the Atom","The Science Syllabus is elegantly designed such that it introduces the basic concepts of Science and its importance in our daily life. It will make the foundation strong for the higher classes. In this, the Chemistry section focuses on concepts like Matter around us, Atoms and Molecules, etc.",274
Class 8th Chemistry,Jayant Topnani,Class 8th Chemistry,"Coal and Petroleum  , Synthetic fibers and plastics , Materials - Metals and Non-metals , Pollution of Air and Water,  Combustion and Flame ","The Science Syllabus is elegantly designed such that it introduces the basic concepts of Science and its importance in our daily life. It will make the foundation strong for the higher classes. In this, the Chemistry section focuses on concepts like Synthetic Fibers and Plastics, Metals, Non-metals, Fossil Fuels, etc.",275
Class 6th Chemistry,Jayant Topnani,Class 6th Chemistry,"Variety in fabrics , Fibre                                   , Some plant fibres, Spinning Cotton Yarn, Yarn to fabric, History of clothing material , Objects around us  , Properties of materials, Methods of Separation of substances, Ways to bring a change , Can all changes be reversed?","The Science Syllabus is elegantly designed such that it introduces the basic concepts of Science and its importance in our daily life. It will make the foundation strong for the higher classes. In this, the Chemistry section focuses on concepts like Fibre to Fabric, Sorting materials into groups, Separation of substances, etc.",276
Solidity Live Class,,Solidity Live Classes,"Solidity Fundamentals, Smart Contracts in Solidity, Smart Contract Best Practices, What are ICO and what are tokens, Understanding about ERC-20, Solana Blockchain, Web 3.0, Intro to IPFS, Oracles, DeFI, NFT’s","Solidity & Solana Blockchain course is designed to provide an in depth knowledge on various aspects & concepts of blockchain & Solidity. A step by step learning will be help to focus on each & every parameter of Blockchain. This course will take you into a deep dive into the state of the art blockchain technology and how to go about writing smart contracts in the ethereal platform. Moreover, this is a project-ready course which will help you take whatever you learn and apply it into a real-world portfolio-ready app, which you can showcase to the world.",277
MLOPS Live Class,Sunny Bhaveen Chandra,MLOPS Live Class,"Learn what MLOps is and why it's important in machine learning., Create Projects and Register Models with their Metrics and Hyperparameters using Python and MLOps.","Machine Learning can be found in a variety of places, including company financial performance, human health, social issues, and scientific discoveries and innovation. Machine Learning is no longer a differentiator in business; it is an issue of life.MLOPs (Machine Learning Operations) appear to improve the administration and operation of Machine Learning models and allow a smoother transition to operation, based on principles similar to DevOps, which likewise strive to combine and automate development and operation. This course will expose you to the realm of MLOps through a variety of hands-on exercises.",278
SPARK Augmented Reality Live Class,Monal Kumar,SPARK Augmented Reality Live Class,"Mac or Windows laptop, Understanding the fundamentals of Unity and C# programming will be quite beneficial.","If you're interested in learning about Augmented Reality, you've come to the perfect spot. Learn the concepts and programming skills needed to create fully functional Augmented Reality apps for Android and iOS. You will need an Android or iPhone to complete this course.",279
Statistics Live Class,Bharath J P V ,Statistics Live Class,"Understand what a Normal Distribution is., Explain the difference between continuous and discrete variables, Understand the Central Limit Theorem, Use the Z-Score and Z-Tables, Understand the difference between normal distribution and t-distribution, Create confidence intervals, Understand standard deviations, Understand what a sampling distribution is, Apply Hypothesis Testing for Proportions, Use the t-Score and t-Tables","Statistics is the discipline that concerns the collection, organization, analysis, interpretation and presentation of data. Statistics is the foundation behind all the work you want to do regarding Data Science. So, you must know all the statistical concepts to learn data science well. In this course, you will learn all the statistical concepts in detail that will be highly beneficial for various fields of Data Science.",280
Machine Learning Live Class,Sagar Kandpal,Machine Learning Live Class,"Master machine learning on python, Make robust machine learning models, Use machine learning for personal purpose, Handle advanced techniques like dimensionality reduction, Classify data using K-Means clustering, Support Vector Machines (SVM), KNN, Decision Trees, Naive Bayes, and PCA","This is Machine Learning course, where you will learn various things from the beginning like python, API, deployment in AWS, Azure, GCP, Heroku, Database, various modules in statistics, all machine learning algorithms.",281
Linux Live Class,Sourangshu Pal,Linux Live Class,"Linux Introduction, Setting up Our Linux Space, Linux Concepts, Package Management, Linux Commands, Working with Terminal, Permissions & Security",This Linux course looks at the tools and techniques that Linux system administrators and end-users use on a daily basis to complete their tasks in a Linux environment.,282
Drone Live Class,Sunny Bhaveen Chandra,Drone Live Class,"Basic understanding of UAV and Maneuvering of Aircraft., Construction(Multirotor drone basic), Drone Body Assembly, Transmitter and Receiver, Flight controller, Calibrations",iNeuron has created a course in collaboration with industry experts who are achieving incredible things with autonomous robotics. You can learn about the process of making a drone or how drones are used in various sectors. The majority of drones are ready to go to the skies. We provide Robotics concepts to teach you about dynamics and control so you can get a better understanding of how that works. We present an outline of Drones and Autonomous Systems for individuals who want to learn more about their mechanics. Each lecture is intended to lay the groundwork for how autonomous systems can alter our perceptions of robotics.,283
Data Structures and Algorithms Live Class,Priya Bhatia,Data Structures and Algorithms Live Class,"Problem solving, Analytical skill, Design Solution, Architecture design, Answer Confidently in interview., Upscale your skill as a Developer.",The Data Structure and Algorithm program focused on learning algorithmic strategies for addressing a myriad of challenges while having complete control of memory and time. Develop a thorough understanding of how data structures work and how to create efficient algorithms.,284
Arduino Live Class,Kishan Menaria ,Ardiuno,"Arduino UNO, Arduino Mega (R3), Arduino Mega, Arduino Leonardo, Arduino Due, Arduino Zero","This course was created to help students comprehend what they're doing. You can start from the beginning, gain the essential foundation, and learn the entire process of creating Arduino projects through practice and hands-on training.",285
Aptitude Live Class,Prerna Singh,Aptitude,"Numbers & Algebra, Percentage, Average, Time & Work, Distance, Time & Speed, Ratio, Proportion & Mixture",Quantitative aptitude is a test that assesses a person's numerical and problem-solving abilities. This is a common section seen on most competitive examinations. This Aptitude course has been designed to help students get started and succeed in tests and interviews.,286
Microsoft PowerApps,Khushali Shah,Microsoft PowerApps,"Microsoft PowerApps in details, Account Creation, Dashboard Overview, Create your first app using Datasource, Understanding of Data Cards, Building a PowerApp using premade Microsoft template, Various user functions & formulas in PowerApps, Common Data Service, Model Driven Apps","This program is specialized in providing theoretical as well as practical understanding of the microsoft power apps  platform which allows you to learn customized app building process using microsoft powerapps. Course curriculum includes powerapps features, datasources, functions, common data services, model driven apps and much more!",287
Robotics,,Robotics,"Introduction, Essential Tools Basics, Robot Car, Introduction to Bluetooth  , Project: Bluetooth Robot Car","The Introduction to Robotics Specialization covers the fundamentals of robot flight and movement, as well as how robots detect their surroundings and alter their movements to avoid obstacles, negotiate tough terrains, and complete complicated jobs like construction and disaster response. You'll learn about real-world examples of how robots have been used in disasters, how they've improved human health care, and what their future capabilities will be. The courses lead up to a capstone in which you'll learn how to programme a robot to execute various tasks like flying and gripping objects.",288
Artificial Intelligence for Kids,,Machine Learning for Kids,"Introduction to Machine learning, Preprocessing data in Python, Bias and Variance, Data visualization, Linear regression, Logistic regression, K-means clustering, K-Nearest Neighbor, Projects","This course introduces the fundamentals of machine learning through the use of well-known Python programming languages. In this course, you will learn about machine learning and why machine learning came into reality. You will learn about various supervised and unsupervised learning algorithms to solve some real-world problems. Students who complete this course will gain hands-on practical experience in building various machine learning algorithms",289
Deep Learning for Kids,,Deep Learning for Kids,"Introduction Artificial Intelligence, Introduction to Deep Learning, Supervised learning, Unsupervised learning, Python basics, NumPy basics, Pandas basics , TensorFlow, Kera's, Artificial neural network, Convolution neural network, Projects","Learners will master the fundamentals of deep learning as well as how to tackle a challenging real-world problem that is difficult to handle with standard programming in this course. This course will teach you the fundamentals of AI, allowing you to create incredible AI applications. Students will receive hands-on practical experience in designing AI-based projects after successfully completing the course. Learners might begin applying for freelancing employment in order to make a fortune.",290
Image Processing,Monal Kumar,"Image Processing Course, Image processing Certification course","Image processing, OpenCV, Scikit, Color space, Creating Basic Drawings, Advanced OpenCV, Projects","In this hands-on course, You will learn how to filter, change, and edit images. You will also learn how to use OpenCV to perform various image processing tasks with hands-on practical experience. Students who complete this course will be able to apply what they have learned in this course to a variety of fields, including machine learning and artificial intelligence, machine and robotic vision, space and medical image analysis, and many more. Join the hands-on Image Processing course to learn how to filter, edit, and change images using OpenCV. This course is perfect for those interested in machine learning, artificial intelligence, robotic vision, space and medical image analysis, and more. You will gain practical experience and work on projects that apply the skills you learned. The course requires an internet connection, interest in learning, and dedication. The course covers image processing fundamentals, color spaces, creating basic drawings, and advanced OpenCV techniques. You will also learn about different image formats, compression, and pixel definitions. In addition, you will explore different color spaces such as RGB, XYZ, HSV/HSL, and LAB color space. Finally, the course introduces Scikit image and covers how to upload, view, and save images, get resolution, and convert color spaces. By completing this course, you will have gained practical experience in image processing using OpenCV and can apply your skills to various fields.",291
Statistics using Python,,Statistics using Python,"Introduction to Course, Introduction to Probability and statistics, Sets, Permutation and Combination, Statistics, Probability, Regression, Hypothesis testing","This course will brush up on your statistics skills which is something everyone needs to work on in school. But it's a difficult task to learn all the statistical concepts which seems like a daunting task. This course is created keeping in mind the important statistical topics in school. Here you will quickly get the absolutely essential statistical knowledge for the journey to becoming a Statistician, Data Scientist, or Analyst.",292
Raspberry Pi,Sunny Bhaveen Chandra,Raspberry Pi,"Get started with Raspberry Pi, Understanding Raspberry Pi, Understanding of Protocol used in Raspberry Pi, Basics of  Electronic, OS Tour + Linux Fundamentals, Understanding Sensors and intergration with Raspberry Pi, Raspberry Programming, Raspberry Pi beginner projects","In this course, you will learn the basics of Raspberry pi and difference between microprocessor and microcontroller and how to use raspberry pi from which you can build amazing IOT applications with Raspberry PI OS. You will also learn Python programming language. This course will introduce the basic of Python library GPIO which will help you to start your journey in the field of artificial intelligence.",293
Fundamentals of Web Designing,Monal Kumar,Fundamentals of Web Designing ,"Introduction to the course, HTML Basic formatting tags , HTML Basic Formatting Tags, Grouping Tags, HTML Hyperlink, HTML Headers, CSS, CSS Selectors, CSS Background Cursor, CSS Text font, CSS List Style, CSS Box Models, CSS Display Positioning, CSS Advanced, Hands-on Projects",This course will teach about web development by making real websites from scratch with HTML and CSS. You can start by creating a website  and that's one of the best ways to learn to code. This Skill Path will help you build strong fundaments of HTML and CSS to define the structure and beauty of your website.,294
Class 8th Math,Jayant Topnani,Class 8th Math,"Algebra, Statistics, Geometry, Numbers, Mensuration","This course is useful for Grade 8 students.In this course,entire NCERT will be covered, Various questions from NCERT, NCERT exemplar andprevious year will also be discussed.Dedicated doubt clearing sessions will also be conducted for helping the students regularly throughout their learning journey.",295
Class 7th Math,Jayant Topnani,Class 7th Math,"Algebra, Geometry, Statistics, Numbers, Mensuration","This course is useful for Grade 7 students.In this course,entire NCERT will be covered, Various questions from NCERT, NCERT exemplar and previous year will also be discussed. Dedicated doubt clearing sessions will also be conducted for helping the students regularly throughout their learning journey.",296
Class 6th Math,Jawala Prakash,Class 6th Math,"Mensuration, Statistics, Algebra, Numbers, Geometry, Ratio Proportion","This course is useful for Grade 6 students. In this course,entire NCERT will be covered, various questions from NCERT, NCERT exemplar and previous year will also be discussed. Dedicated doubt clearing sessions will also be conducted for helping the students regularly throughout their learning journey.",297
Class 9th Physics,Jawala Prakash,Class 9th Physics,"Motion                          , Force and Laws of  Motion, Gravitation, Work and energy, Sound","This course will provide a detailed understanding of the practical as well as theoretical approach towards various scientific concepts like Motion, Work, Energy, Laws of  Motion, etc. Complete and detailed solutions from NCERT Exercises are provided.",298
Class 10th Physics,Jawala Prakash,"physics classes online for 10th standard, physics CBSE classes online, physics ICSE classes online, physics classes near me, neet physics classes","Light – Reflection and Refraction, The Human Eye and the Colourful World, Magnetic effects of electric current, Sources of Energy","The Science Syllabus is elegantly designed such that it introduces the basic concepts of Science and its importance in our daily life. Class 10th is crucial and is the foundation for higher education of students. It will make the foundation strong for the higher classes. Physics is the Study of Physical World. It is the natural science that studies matter, its fundamental constituents, its motion and behavior through space and time, and the related entities of energy and force. Main goal of Physics is to understand how the universe behaves.",299
Class 8th Physics,Jawala Prakash,Class 8th Physics,"Stars and the Solar System, Light, Some Natural Phenomena, Chemical Effects of Electric Current, Sound, Friction, Force and Pressure","The Science Syllabus is elegantly designed such that it introduces the basic concepts of Science and its importance in our daily life. It will make the foundation strong for the higher classes. Physics is the Study of Physical World. It is the natural science that studies matter, its fundamental constituents, its motion and behavior through space and time, and the related entities of energy and force. Main goal of  Physics is to understand how the universe behaves.",300
Class 7th Physics,Jawala Prakash,Class 7th Physics,"Light, Motion and Time , Wind Storm and Cyclone, Heat, Electric Current And its Effect","The Science Syllabus is elegantly designed such that it introduces the basic concepts of Science and its importance in our daily life. It will make the foundation strong for the higher classes. The Physics section focuses on various concepts related to Heat, Winds, Storms, Cyclones, Electric current, etc.",301
Class 6th Physics,Jawala Prakash,Class 6th Physics,"Fun with Magnets, Electrictiy and Circuits, Light, Shadows and Reflections, Motion and Measurement of Distance","The Science Syllabus is elegantly designed such that it introduces the basic concepts of science and its importance in our daily life. It will make the foundation strong for the higher classes. The Physics section focuses on various concepts related to Motion, Light, Electricity, Magnetism, etc.",302
Class 7th Biology,Dr Nishtha Jain,Class 7th Biology,"Nutrition in Plants, Nutrition in Animals, Weather, Climate and Adaptations of Animals to Climates","The Science Syllabus is elegantly designed such that it introduces the basic concepts of science and its importance in our daily life. It will make the foundation strong for the higher classes. The Biology section focuses on concepts like food, bodily movements, surroundings of living organisms, garbage, etc.",303
Class 10th Math,Jayant Topnani,"Mathematics classes online for 10th standard, Mathematics CBSE classes online, Mathematics ICSE classes online, Mathematics classes near me, neet Mathematics classes","Algebra, Geometry, Statistics, Probability, Coordinate Geometry","This course is useful for Grade 10 students. It is focused on providing assistance to students who have to appear for board exams. In this course, the entire NCERT will be covered, Various questions from NCERT, NCERT exemplar and previous year will also be discussed. Dedicated doubt clearing sessions will also be conducted for helping the students regularly throughout their learning journey. Previous year board questions & sample papers will also be discussed.",304
Class 9th Math,Jayant Topnani,Class 9th Math,"Algebra, Geometry, Statistics, Probability, Number Systems","This course is useful for Grade 9 students.In this course,entire NCERT will be covered, Various questions from NCERT, NCERT exemplar andprevious year will also be discussed.Dedicated doubt clearing sessions will also be conducted for helping the students regularly throughout their learning journey.",305
Class 8th Biology,Dr Nishtha Jain,Class 8th Biology,"Crop Production and management, Microorganisms Friend and Foe, Conservation of Plants and Animals, Cell Structure and Function, Reproduction in Animals, Reaching the age of adolescence","The Science Syllabus is elegantly designed such that it introduces the basic concepts of Science and its importance in our daily life. It will make the foundation strong for the higher classes. The Biology section focuses on concepts like food, bodily movements, surroundings of living organisms, garbage, etc.",306
Class 6th Biology,Dr Nishtha Jain,Class 6th Biology,"Food - Where does it come from?


, Components of Food, Getting to know Plants, Body Movements, The living organisms and their surroundings



, Water","The Science Syllabus is elegantly designed such that it introduces the basic concepts of Science and its importance in our daily life. It will make the foundation strong for the higher classes. The Biology section focuses on concepts like food, bodily movements, surroundings of living organisms, garbage, etc.",307
Class 10th Biology,Dr Nishtha Jain,"biology classes online for 10th standard, biology CBSE classes online, biology ICSE classes online, biology classes near me, neet biology classes","Life processes, Control and coordination, How do organisms reproduce, Heredity and evolution, Our environment, Sustainable management of natural resources","The Science Syllabus is elegantly designed such that it introduces the basic concepts of Science and its importance in our daily life. It will make the foundation strong for the higher classes. The Biology section focuses on concepts like food, bodily movements, surroundings of living organisms, garbage, etc.",308
Game Development using Unity,,Game Development using Unity,"Introduction using Unity, Introduction to game engine, Introduction to C# programming, 2D physics concepts, Introduction to animation, 3D game development, Publishing games to various platforms","This course provides an overview of the core principles of gaming using Unity. You will learn to define a game, as well as the mechanics and rules that govern a variety of games. After finishing this course, you will have a thorough understanding of the entire game development process.",309
Scratch Programming for kids,,Scratch programming for kids,"Introduction to programming , Working with sprites, Scratch components, Scratch Motion block, Scratch Looks block, Scratch Sound block, Scratch Control block, Scratch Sensing block, Scratch Operators, Scratch Variables","This course will provide learners with a strong knowledge of basic programming  concepts without writing code. Scratch is a computer programming language  that allows creating interactive stories, games, and animations and sharing  them online straight forward and exciting. Students will receive hands-on  practical experience in basic game creation after successfully completing  the course.",310
Interactive Visualization using Seaborn,,Interactive Visualization using Seaborn,"Introduction of Seaborn, Environment Setup, Importing Dataset and Libraries , Different Types of Plot in Seaborn, Statistical Estimation, Project","This course will help learners to understand the fundamentals of data visualization with seaborn. In this course, You will learn how to generate line plots, scatterplots, histograms, distribution plots, pair plots, bar plots, count plots, and many more. Upon successful completion, you can create beautiful visualizations and extract insights out of them.",311
OpenCV using Python,,OpenCV using Python,"Introduction to OpenCV, Python programming, Image processing, Basics of NumPy, Image Manipulation, Color spaces, Projects","This course will teach the learner the fundamentals of the OpenCV library,  including an overview of the library and image manipulation using OpenCV.  It is a free and open-source computer vision and machine learning library. This course will introduce learners to the fundamentals of using  OpenCV to explore computer vision and AI (AI). With the aid of many  practical real-world image processing tasks, students who finish this course  will gain hands-on expertise in image processing using OpenCV.",312
Mathematics using Python,,Mathematics using Python,"Linear algebra, Vector operations, Matrix, Eigen Vectors and Eigen Values, Matrix Operations in Machine Learning ","Many people are unaware that Python is a fantastic tool for studying mathematics. Python may be used as a basic calculator, but did you know that it can also be used to master more difficult concepts in algebra, geometry, and matrix analysis? That's precisely what this course will teach you. This course introduces Python programming to students with the help of various mathematical concepts taught in schools. This course is designed in order to help students in understanding the different mathematical subjects and concepts with the help of practical programming and hands-on practice in the Python programming language.",313
Data Analysis Using Python,,Data Analysis Using Python,"Introduction to Data Analysis, Importance of Data, Integrated development environment, Python Packages, Python Libraries, File Formats, Pandas Library, Data Cleaning, Data Manipulation, Pandas Functions, Feature engineering","In this course, you will learn to extract insights from the data. This course is designed to help you deal with data analysis and data manipulation using the popular python library “Pandas”. You will learn powerful functions to present the facts from data in the most straightforward and accurate way.",314
UI Designing using Figma,,UI designing using Figma,"Introduction to Figma, Uses Figma, Advantages of Figma, Overview of Figma Interface, Pen tools, Masking in Figma, Plugs in Figma, Figma components, Animations using Figma","Students will learn how to design user interfaces with Figma in this course. They will be introduced to the Figma interface in the first session, which includes how to use features to make the designs responsive. Students will also be taught how to make components to establish a library of design elements that can be reused across projects. They will learn real-time team communication and how to work on a project with other designers. Also, the research and prototyping process is explained in the later part of the course. Through a practical hands-on approach, students who complete this course will be able to apply their knowledge to solve real-world user interface problems.",315
Getting started with Cloud,,Getting started with Cloud,"Cloud computing fundamentals, Types of Clouds , Risks , Features of Cloud Computing, Virtualization, Characteristics of Cloud, Cloud Computing Architecture","This course will assist students in grasping the basic concepts of cloud computing with its various applications. This course will equip students with the proper start that they require to begin their career in cloud computing in today's modern environment, where cloud engineers are in high demand. This hands-on practical-oriented course will enable students to apply their cloud computing skills and help them in starting with a lucrative career in cloud computing.",316
